ID_UNIVERSAL,LUGAR_TRABAJO,MERCADO,PROVINCIA,REGION,ANTIGUEDAD,PROMEDIO_EVALUACION,NUM_FEEDBACKS,NUM_CURSOS,SCORE_EDUCACION,NUM_IDIOMAS,MOVILIDAD_DISPONIBLE,COMPETENCIA_GENERAL,liderazgo,comunicacion,trabajo_en_equipo,resolucion_problemas,orientacion_resultados,pensamiento_critico
125319,S.Seb-N.Mercado,España,Gipuzkoa,País Vasco,21.42,0.0,0.0,21.0,0.0,1.0,0.0,3.25,0.0,0.0,0.21311201405655542,0.0,0.0,0.0
1549893,Ben-La Marina,España,Alicante,Comunidad Valenciana,6.83,4.0,1.0,22.0,0.0,1.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0
1690653,Lp-El Mirador,España,Las Palmas,Canarias,3.42,0.0,0.0,19.0,5.0,1.0,0.0,3.95,0.0,0.0,0.19371934855113457,0.0,0.0,0.0
1278623,Bcn-Diagonal,España,Barcelona,Cataluña,10.25,0.0,0.0,91.0,0.0,1.0,0.0,13.75,0.0,0.17664807113683556,0.07684152147919668,0.0,0.0,0.0
121640,Ben-Gambo,España,Alicante,Comunidad Valenciana,23.5,0.0,0.0,19.0,0.0,1.0,0.0,2.95,0.0,0.0,0.24390517640040915,0.0,0.0,0.0
116731,S.Fern-Bahia Sur,España,Cadiz,Andalucía,30.75,0.0,0.0,34.0,2.0,1.0,1.0,5.6499999999999995,0.0,0.23475266696721428,0.1269732824793946,0.0,0.0,0.0
1891737,Bcn-Puerta Angel,España,Barcelona,Cataluña,0.5,0.0,0.0,19.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0
131310,S.Fern-Bahia Sur,España,Cadiz,Andalucía,18.08,0.0,1.0,9.0,0.0,1.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0
119992,Bil-Artea Parque Comercial,España,Bizkaia,País Vasco,24.5,0.0,0.0,17.0,0.0,1.0,0.0,2.65,0.0,0.0,0.19978416398489196,0.0,0.0,0.0
1690246,Tfe-Meridiano,España,Tenerife,Canarias,0.08,0.0,0.0,18.0,0.0,0.0,0.0,2.6999999999999997,0.0,0.0,0.204380039804723,0.0,0.0,0.0
125322,Sev-Plaza Del Duque 5,España,Sevilla,Andalucía,18.08,0.0,0.0,7.0,0.0,1.0,0.0,1.1500000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1623803,Mal-Plaza Mayor,España,Malaga,Andalucía,6.17,4.333333333333333,2.0,54.0,5.0,2.0,0.0,11.233333333333333,0.0,0.24801585416470934,0.10925539129670495,0.1315855236601757,0.0,0.0
1893124,Mad-Alcala161,España,Madrid,Madrid,0.17,0.0,0.0,8.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
1421304,Marb-La Cañada,España,Malaga,Andalucía,7.75,0.0,0.0,23.0,2.0,1.0,0.0,3.9499999999999997,0.0,0.2893360344733333,0.19397324751832684,0.0,0.0,0.0
1862486,Bcn-Diagonal Mar,España,Barcelona,Cataluña,0.08,0.0,0.0,1.0,4.0,4.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0
1593166,S.Seb-Getaria,España,Gipuzkoa,País Vasco,0.33,0.0,0.0,6.0,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1865596,Mall-Alejandro Rosello,España,Baleares,Baleares,0.08,0.0,0.0,4.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
1829730,Pam-La Morea,España,Navarra,Navarra,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117206,Vall-Interikea,España,Valladolid,Castilla Y Leon,28.08,2.0,0.0,38.0,0.0,2.0,0.0,6.7,0.0,0.23775434864618386,0.21773336926958223,0.0,0.0,0.0
1632092,Mad-Castellana,España,Madrid,Madrid,1.5,0.0,0.0,45.0,5.0,2.0,1.0,8.0,0.0,0.08080347806123388,0.0,0.0,0.0,0.0
1684664,Cord-Conde De Gondomar,España,Cordoba,Andalucía,3.42,0.0,0.0,107.0,0.0,1.0,1.0,16.200000000000003,0.0,0.10238994739880238,0.0686430594320143,0.0,0.0,0.0
